opus_name,opus_number,views,subscribed,upvotes
"Karajan - Brahms Symphony No. 2 in D, Op. 73 - I. Allegro non troppo (Part 1)",73,"255,759",2K,409
"Brahms - O Heiland reiß die Himmel auf, motet, Op. 74 No. 2",74,"62,968",1K,153
LIVE | László Fenyö (Cello) + Kirill Krotov (Piano) Brahms Minnelied op. 71/5,71,"7,947",3K,41
Simone Renzi - Brahms - Rapsodia Op.69 n°1,69,"3,212",3K,33
Brahms Symphony No. 1 in C Minor Op. 68,68,"118,782",1K,306
"(HD) Dvořák: Symphony no. 7 in D minor, op. 70 | John Eliot Gardiner",70,"138,181",3K,657
Brahms-String Quartet No. 3 in B-flat Op. 67 (Complete),67,"31,097",8K,98
"Neue Liebeslieder (Love Songs) Waltzes, op.65a by Johannes Brahms - piano duet",65a,"6,981",86,27
"Anne Sophie-Mutter - Mendelssohn Violin Concerto in E minor, Op.64 - Kurt Masur",64,"680,635",9K,"3,097"
J.Brahms - Neue Liebesliedervalzer op.65 (all songs) Festival Liederiadi,65,"13,469",254,32
"Edith Wiens  ""Meine Liebe ist grün""  Johannes Brahms  Op. 63     .wav",63,"33,549",444,59
Rosmarin - Johannes Brahms op. 62 Nº 1,62,"39,232",21,87
"Barbara Bonney & Angelika Kirchschlager - Brahms, Die Schwestern (Op. 61, No. 1)",61,"6,898",220,22
"Brahms Piano Quartet in c minor op. 60, I. Allegro ma non troppo - Colburn Piano Quartet",60,"58,325",169,249
Johannes Brahms: In der Gasse op. 58 Nr. 6,58,"1,147",13,6
"Edith Wiens ""Dein blaues Auge""  Brahms Op. 59, No 8    .wav",59,"21,137",444,77
"Brahms, Variations on a theme by Haydn for two pianos, op. 56b",56b,"61,549",3K,317
Dmitri Shostakovich - Piano Quintet in G minor Op.57 - The Borodin Quartet,57,"31,091",24K,202
Johannes Brahms - Variations on a Theme of Haydn for orchestra Op. 56a,56a,"161,992",24K,547
"Johannes Brahms - Triumphlied, Op. 55, for baritone, chorus and orchestra (1/2)",55,"16,834",24K,58
"J. Brahms - ""Schicksalslied"" (Song of Fate) Op. 54 for mixed choir and orchestra",54,"65,934",2K,74
Brahms Variations on a theme by Paganini Op.35. Alexander Romanovsky,35,"91,731",666,301
"Liebeslieder Waltzes, Op.52 - Johannes Brahms",52,"59,149",192,139
"Ekaterina Gubanova:""Rhapsodie""(Rapsodia per contralto,coro maschile e orchestra op.53 ) di J Brahms",53,"24,703",62,120
Brahms String Quartet Op. 51 No.1 in C minor (Full),51,"86,595",3K,282
"Brahms. 3 Waltzes op.52a for four hands. Alisa Zaika, Ruzana Bogovska",52a,89,13,0
"Brahms - Magelone-Lieder, 15 Romances Op. 33 (Fischer-Dieskau, Richter)",33,"5,321",17K,34
"J. Brahms - Sonata for two pianos in F minor, op. 34b - 1st Movement",34b,"11,057",251,7
"Arthur Rubinstein - Brahms Quintet in F minor, Op. 34 (1)",34,"94,911",25K,319
Johannes Brahms - Nicht mehr zu dir zu gehen op. 32,32,"6,241",702,19
Mendelssohn - Lieder ohne Worte op. 30 nº 1,30,"263,711",4K,721
"Neckereien, Op. 31, No. 2 - University of Utah Chamber Choir",31,"4,884",620,20
"Brahms - Schaffe in mir, Gott, ein rein Herz op. 29 nº 2",29,"64,748",4K,139
"Dubugnon Ellébores, op.28 - Brahms Klarinettrio in a, op. 114C [HD]",28,"9,300",77K,32
"Edvard Grieg - String Quartet No. 1 in G Minor, Op. 27",27,"238,832",24K,"1,271"
"Max Bruch - Violin Concerto No 1 in G Minor, Op. 26 - Adagio",26,"279,579",174K,"1,027"
"Brahms : Piano Quartet No. 1 in G minor, op. 25",25,"119,609",838,454
"Brahms - Händel Variations, Op. 24 (Murray Perahia)",24,"134,497",8K,626
"Brahms, Marienlieder op. 22 (1859) - VI. Magdalena",22,"4,591",1K,21
"P. I. Tchaikovsky - Piano Concerto No. 1, Op. 23 (Pletnev, Fedoseyev)",23,"865,264",16K,"4,120"
Sviatoslav Richter plays Brahms Variations Op. 21 No. 2,21,"32,829",14K,67
Brahms Op.19 Fünf Gedichte Teatro Municipal,19,"1,640",4,5
Brahms Vier Gesänge op.17,17,"12,099",13,24
"Brahms Serenade No. 2 in A,  Op. 16　LSO / Kertesz",16,"8,928",402,37
"Beethoven: Septet in E-flat Major, Op. 20 - Curtis Institute of Music, Jan. 2013",20,"53,540",109,264
"Brahms String Sextet No.1 in B flat, Op.18 - I. Allegro ma non troppo",18,"73,457",353,211
"Felix Mendelssohn - Rondo Capriccioso, Op. 14 - Jan Lisiecki",14,"53,512",901,502
"Johannes Brahms - Piano Concerto no. 1 in D minor, op.15",15,"63,758",24K,231
"Schumann, Symphonic Etudes, Op. 13 - Daniil Trifonov",13,"91,897",1K,601
"J.Brahms. Selected works from Op. 10, 76, 116, 117, 118, 119 Valentina Lisitsa",10,"203,886",246K,"2,110"
"Brahms - Variations on a Theme of Robert Schumann, Op. 9 - Katchen",9,"131,991",1K,488
"Johannes Brahms - Serenade No.1 in D-major, Op.11 (1857)",11,"71,549",9K,271
Brahms Piano Trio No.1 Op.8 in B Major - 1(a). Allegro con brio,8,"136,350",176,526
Brahms - Sechs Gesänge op. 6 & Liszt - Oh! Quand Je Dors,6,"1,586",47,14
Johannes Brahms - Ave Maria  (op. 12),12,"16,797",71,15
Brahms - piano sonata no. 3 op. 5 - 1.Allegro maestoso [by Vadim Chaimovich],5,"75,202",6K,202
"""Die Trauernde"" (Sechs Gesänge, Op. 7/5)  by Johannes Brahms",7,939,42,7
Zimerman plays Brahms Sonata Op.2 (1st mov.),2,"88,598",1K,191
"Brahms, Scherzo in E-flat minor Op.4 played by Wilhelm Kempff",4,"10,345",1K,38
"Brahms, Liebestreu, op. 3 n. 1 (1853)",3,"9,626",1K,22
